Date,load,zone
2/10/2020 12:00:00 AM,2392.00,AZPS
2/10/2020 12:00:00 AM,953.00,BANCSMUD
2/10/2020 12:00:00 AM,7296.00,BCHA
2/10/2020 12:00:00 AM,20931.00,CA ISO
2/10/2020 12:00:00 AM,1686.00,IPCO
2/10/2020 12:00:00 AM,3.00,MWD
2/10/2020 12:00:00 AM,3543.00,NEVP
2/10/2020 12:00:00 AM,4839.00,PACE
2/10/2020 12:00:00 AM,2168.00,PACW
2/10/2020 12:00:00 AM,9749.00,PGE
2/10/2020 12:00:00 AM,2113.00,PGE-NEW
2/10/2020 12:00:00 AM,2689.00,PSEI
2/10/2020 12:00:00 AM,9228.00,SCE
2/10/2020 12:00:00 AM,1882.00,SDGE
2/10/2020 12:00:00 AM,69.00,VEA
2/10/2020 1:00:00 AM,2385.00,AZPS
2/10/2020 1:00:00 AM,930.00,BANCSMUD
2/10/2020 1:00:00 AM,7205.00,BCHA
2/10/2020 1:00:00 AM,20673.00,CA ISO
2/10/2020 1:00:00 AM,1698.00,IPCO
2/10/2020 1:00:00 AM,3.00,MWD
2/10/2020 1:00:00 AM,3498.00,NEVP
2/10/2020 1:00:00 AM,4839.00,PACE
2/10/2020 1:00:00 AM,2166.00,PACW
2/10/2020 1:00:00 AM,9777.00,PGE
2/10/2020 1:00:00 AM,2069.00,PGE-NEW
2/10/2020 1:00:00 AM,2646.00,PSEI
2/10/2020 1:00:00 AM,9002.00,SCE
2/10/2020 1:00:00 AM,1823.00,SDGE
2/10/2020 1:00:00 AM,68.00,VEA
2/10/2020 2:00:00 AM,2432.00,AZPS
2/10/2020 2:00:00 AM,928.00,BANCSMUD
2/10/2020 2:00:00 AM,7181.00,BCHA
2/10/2020 2:00:00 AM,20660.00,CA ISO
2/10/2020 2:00:00 AM,1731.00,IPCO
2/10/2020 2:00:00 AM,1.00,MWD
2/10/2020 2:00:00 AM,3484.00,NEVP
2/10/2020 2:00:00 AM,4890.00,PACE
2/10/2020 2:00:00 AM,2195.00,PACW
2/10/2020 2:00:00 AM,9883.00,PGE
2/10/2020 2:00:00 AM,2067.00,PGE-NEW
2/10/2020 2:00:00 AM,2661.00,PSEI
2/10/2020 2:00:00 AM,8931.00,SCE
2/10/2020 2:00:00 AM,1775.00,SDGE
2/10/2020 2:00:00 AM,70.00,VEA
2/10/2020 3:00:00 AM,2573.00,AZPS
2/10/2020 3:00:00 AM,955.00,BANCSMUD
2/10/2020 3:00:00 AM,7218.00,BCHA
2/10/2020 3:00:00 AM,20651.00,CA ISO
2/10/2020 3:00:00 AM,1813.00,IPCO
2/10/2020 3:00:00 AM,0.00,MWD
2/10/2020 3:00:00 AM,3516.00,NEVP
2/10/2020 3:00:00 AM,5038.00,PACE
2/10/2020 3:00:00 AM,2270.00,PACW
2/10/2020 3:00:00 AM,9750.00,PGE
2/10/2020 3:00:00 AM,2121.00,PGE-NEW
2/10/2020 3:00:00 AM,2753.00,PSEI
2/10/2020 3:00:00 AM,9041.00,SCE
2/10/2020 3:00:00 AM,1786.00,SDGE
2/10/2020 3:00:00 AM,74.00,VEA
2/10/2020 4:00:00 AM,2854.00,AZPS
2/10/2020 4:00:00 AM,1017.00,BANCSMUD
2/10/2020 4:00:00 AM,7408.00,BCHA
2/10/2020 4:00:00 AM,21355.00,CA ISO
2/10/2020 4:00:00 AM,1969.00,IPCO
2/10/2020 4:00:00 AM,2.00,MWD
2/10/2020 4:00:00 AM,3626.00,NEVP
2/10/2020 4:00:00 AM,5308.00,PACE
2/10/2020 4:00:00 AM,2448.00,PACW
2/10/2020 4:00:00 AM,9947.00,PGE
2/10/2020 4:00:00 AM,2270.00,PGE-NEW
2/10/2020 4:00:00 AM,2966.00,PSEI
2/10/2020 4:00:00 AM,9449.00,SCE
2/10/2020 4:00:00 AM,1876.00,SDGE
2/10/2020 4:00:00 AM,81.00,VEA
2/10/2020 5:00:00 AM,3164.00,AZPS
2/10/2020 5:00:00 AM,1135.00,BANCSMUD
2/10/2020 5:00:00 AM,7907.00,BCHA
2/10/2020 5:00:00 AM,23141.00,CA ISO
2/10/2020 5:00:00 AM,2159.00,IPCO
2/10/2020 5:00:00 AM,2.00,MWD
2/10/2020 5:00:00 AM,3829.00,NEVP
2/10/2020 5:00:00 AM,5694.00,PACE
2/10/2020 5:00:00 AM,2770.00,PACW
2/10/2020 5:00:00 AM,10684.00,PGE
2/10/2020 5:00:00 AM,2543.00,PGE-NEW
2/10/2020 5:00:00 AM,3319.00,PSEI
2/10/2020 5:00:00 AM,10268.00,SCE
2/10/2020 5:00:00 AM,2096.00,SDGE
2/10/2020 5:00:00 AM,91.00,VEA
2/10/2020 6:00:00 AM,3205.00,AZPS
2/10/2020 6:00:00 AM,1264.00,BANCSMUD
2/10/2020 6:00:00 AM,8699.00,BCHA
2/10/2020 6:00:00 AM,25348.00,CA ISO
2/10/2020 6:00:00 AM,2262.00,IPCO
2/10/2020 6:00:00 AM,2.00,MWD
2/10/2020 6:00:00 AM,4001.00,NEVP
2/10/2020 6:00:00 AM,5943.00,PACE
2/10/2020 6:00:00 AM,3136.00,PACW
2/10/2020 6:00:00 AM,11729.00,PGE
2/10/2020 6:00:00 AM,2865.00,PGE-NEW
2/10/2020 6:00:00 AM,3694.00,PSEI
2/10/2020 6:00:00 AM,11167.00,SCE
2/10/2020 6:00:00 AM,2351.00,SDGE
2/10/2020 6:00:00 AM,99.00,VEA
2/10/2020 7:00:00 AM,2983.00,AZPS
2/10/2020 7:00:00 AM,1303.00,BANCSMUD
2/10/2020 7:00:00 AM,9338.00,BCHA
2/10/2020 7:00:00 AM,26137.00,CA ISO
2/10/2020 7:00:00 AM,2226.00,IPCO
2/10/2020 7:00:00 AM,1.00,MWD
2/10/2020 7:00:00 AM,3972.00,NEVP
2/10/2020 7:00:00 AM,5917.00,PACE
2/10/2020 7:00:00 AM,3274.00,PACW
2/10/2020 7:00:00 AM,12025.00,PGE
2/10/2020 7:00:00 AM,3024.00,PGE-NEW
2/10/2020 7:00:00 AM,3867.00,PSEI
2/10/2020 7:00:00 AM,11524.00,SCE
2/10/2020 7:00:00 AM,2491.00,SDGE
2/10/2020 7:00:00 AM,96.00,VEA
2/10/2020 8:00:00 AM,2750.00,AZPS
2/10/2020 8:00:00 AM,1277.00,BANCSMUD
2/10/2020 8:00:00 AM,9388.00,BCHA
2/10/2020 8:00:00 AM,25628.00,CA ISO
2/10/2020 8:00:00 AM,2162.00,IPCO
2/10/2020 8:00:00 AM,2.00,MWD
2/10/2020 8:00:00 AM,3880.00,NEVP
2/10/2020 8:00:00 AM,5858.00,PACE
2/10/2020 8:00:00 AM,3160.00,PACW
2/10/2020 8:00:00 AM,11450.00,PGE
2/10/2020 8:00:00 AM,2994.00,PGE-NEW
2/10/2020 8:00:00 AM,3813.00,PSEI
2/10/2020 8:00:00 AM,11591.00,SCE
2/10/2020 8:00:00 AM,2500.00,SDGE
2/10/2020 8:00:00 AM,85.00,VEA
2/10/2020 9:00:00 AM,2620.00,AZPS
2/10/2020 9:00:00 AM,1240.00,BANCSMUD
2/10/2020 9:00:00 AM,9259.00,BCHA
2/10/2020 9:00:00 AM,24673.00,CA ISO
2/10/2020 9:00:00 AM,2092.00,IPCO
2/10/2020 9:00:00 AM,2.00,MWD
2/10/2020 9:00:00 AM,3788.00,NEVP
2/10/2020 9:00:00 AM,5781.00,PACE
2/10/2020 9:00:00 AM,3004.00,PACW
2/10/2020 9:00:00 AM,10797.00,PGE
2/10/2020 9:00:00 AM,2938.00,PGE-NEW
2/10/2020 9:00:00 AM,3699.00,PSEI
2/10/2020 9:00:00 AM,11389.00,SCE
