Date,Normalized Load
02/10/2020 00:00:00,0.19
02/10/2020 01:00:00,0.19
02/10/2020 02:00:00,0.19
02/10/2020 03:00:00,0.2
02/10/2020 04:00:00,0.2
02/10/2020 05:00:00,0.2
02/10/2020 06:00:00,0.23
02/10/2020 07:00:00,0.23
02/10/2020 08:00:00,0.3
02/10/2020 09:00:00,0.33
02/10/2020 10:00:00,0.39
02/10/2020 11:00:00,0.64
02/10/2020 12:00:00,0.77
02/10/2020 13:00:00,0.8
02/10/2020 14:00:00,0.82
02/10/2020 15:00:00,0.76
02/10/2020 16:00:00,0.75
02/10/2020 17:00:00,0.74
02/10/2020 18:00:00,0.74
02/10/2020 19:00:00,0.5
02/10/2020 20:00:00,0.4
02/10/2020 21:00:00,0.25
02/10/2020 22:00:00,0.19
02/10/2020 23:00:00,0.19
02/11/2020 00:00:00,0.19
02/11/2020 01:00:00,0.19
02/11/2020 02:00:00,0.19
02/11/2020 03:00:00,0.2
02/11/2020 04:00:00,0.2
02/11/2020 05:00:00,0.2
02/11/2020 06:00:00,0.23
02/11/2020 07:00:00,0.23
02/11/2020 08:00:00,0.3
02/11/2020 09:00:00,0.33
02/11/2020 10:00:00,0.39
02/11/2020 11:00:00,0.64
02/11/2020 12:00:00,0.77
02/11/2020 13:00:00,0.8
02/11/2020 14:00:00,0.82
02/11/2020 15:00:00,0.76
02/11/2020 16:00:00,0.75
02/11/2020 17:00:00,0.74
02/11/2020 18:00:00,0.74
02/11/2020 19:00:00,0.5
02/11/2020 20:00:00,0.4
02/11/2020 21:00:00,0.25
02/11/2020 22:00:00,0.19
02/11/2020 23:00:00,0.19
02/12/2020 00:00:00,0.19
02/12/2020 01:00:00,0.19
02/12/2020 02:00:00,0.19
02/12/2020 03:00:00,0.2
02/12/2020 04:00:00,0.2
02/12/2020 05:00:00,0.2
02/12/2020 06:00:00,0.23
02/12/2020 07:00:00,0.23
02/12/2020 08:00:00,0.3
02/12/2020 09:00:00,0.33
02/12/2020 10:00:00,0.39
02/12/2020 11:00:00,0.64
02/12/2020 12:00:00,0.77
02/12/2020 13:00:00,0.8
02/12/2020 14:00:00,0.82
02/12/2020 15:00:00,0.76
02/12/2020 16:00:00,0.75
02/12/2020 17:00:00,0.74
02/12/2020 18:00:00,0.74
02/12/2020 19:00:00,0.5
02/12/2020 20:00:00,0.4
02/12/2020 21:00:00,0.25
02/12/2020 22:00:00,0.19
02/12/2020 23:00:00,0.19
02/13/2020 00:00:00,0.19
02/13/2020 01:00:00,0.19
02/13/2020 02:00:00,0.19
02/13/2020 03:00:00,0.2
02/13/2020 04:00:00,0.2
02/13/2020 05:00:00,0.2
