STATION,DATE,REPORT_TYPE,SOURCE,AWND,BackupDirection,BackupDistance,BackupDistanceUnit,BackupElements,BackupElevation,BackupElevationUnit,BackupEquipment,BackupLatitude,BackupLongitude,BackupName,CDSD,CLDD,DSNW,DailyAverageDewPointTemperature,DailyAverageDryBulbTemperature,DailyAverageRelativeHumidity,DailyAverageSeaLevelPressure,DailyAverageStationPressure,DailyAverageWetBulbTemperature,DailyAverageWindSpeed,DailyCoolingDegreeDays,DailyDepartureFromNormalAverageTemperature,DailyHeatingDegreeDays,DailyMaximumDryBulbTemperature,DailyMinimumDryBulbTemperature,DailyPeakWindDirection,DailyPeakWindSpeed,DailyPrecipitation,DailySnowDepth,DailySnowfall,DailySustainedWindDirection,DailySustainedWindSpeed,DailyWeather,HDSD,HTDD,HeavyFog,HourlyAltimeterSetting,HourlyDewPointTemperature,HourlyDryBulbTemperature,HourlyPrecipitation,HourlyPresentWeatherType,HourlyPressureChange,HourlyPressureTendency,HourlyRelativeHumidity,HourlySeaLevelPressure,HourlySkyConditions,HourlyStationPressure,HourlyVisibility,HourlyWetBulbTemperature,HourlyWindDirection,HourlyWindGustSpeed,HourlyWindSpeed,MonthlyAverageRH,MonthlyDaysWithGT001Precip,MonthlyDaysWithGT010Precip,MonthlyDaysWithGT32Temp,MonthlyDaysWithGT90Temp,MonthlyDaysWithLT0Temp,MonthlyDaysWithLT32Temp,MonthlyDepartureFromNormalAverageTemperature,MonthlyDepartureFromNormalCoolingDegreeDays,MonthlyDepartureFromNormalHeatingDegreeDays,MonthlyDepartureFromNormalMaximumTemperature,MonthlyDepartureFromNormalMinimumTemperature,MonthlyDepartureFromNormalPrecipitation,MonthlyDewpointTemperature,MonthlyGreatestPrecip,MonthlyGreatestPrecipDate,MonthlyGreatestSnowDepth,MonthlyGreatestSnowDepthDate,MonthlyGreatestSnowfall,MonthlyGreatestSnowfallDate,MonthlyMaxSeaLevelPressureValue,MonthlyMaxSeaLevelPressureValueDate,MonthlyMaxSeaLevelPressureValueTime,MonthlyMaximumTemperature,MonthlyMeanTemperature,MonthlyMinSeaLevelPressureValue,MonthlyMinSeaLevelPressureValueDate,MonthlyMinSeaLevelPressureValueTime,MonthlyMinimumTemperature,MonthlySeaLevelPressure,MonthlyStationPressure,MonthlyTotalLiquidPrecipitation,MonthlyTotalSnowfall,MonthlyWetBulb,NormalsCoolingDegreeDay,NormalsHeatingDegreeDay,REM,REPORT_TYPE,SOURCE,ShortDurationEndDate005,ShortDurationEndDate010,ShortDurationEndDate015,ShortDurationEndDate020,ShortDurationEndDate030,ShortDurationEndDate045,ShortDurationEndDate060,ShortDurationEndDate080,ShortDurationEndDate100,ShortDurationEndDate120,ShortDurationEndDate150,ShortDurationEndDate180,ShortDurationPrecipitationValue005,ShortDurationPrecipitationValue010,ShortDurationPrecipitationValue015,ShortDurationPrecipitationValue020,ShortDurationPrecipitationValue030,ShortDurationPrecipitationValue045,ShortDurationPrecipitationValue060,ShortDurationPrecipitationValue080,ShortDurationPrecipitationValue100,ShortDurationPrecipitationValue120,ShortDurationPrecipitationValue150,ShortDurationPrecipitationValue180,Sunrise,Sunset,TStorms,WindEquipmentChangeDate
72287493134,2020-02-09T00:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.91,49,57,0.00,,+0.03,8,74,29.90,OVC:08 16,29.71,7.00,53,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09802/09/20 00:52:02 METAR KCQT 090852Z 09003KT 7SM OVC016 14/09 A2991 RMK AO2 SLP126 T01390094 58009,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T01:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.90,48,58,0.00,,,,70,29.89,OVC:08 23,29.70,8.00,53,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09202/09/20 01:52:02 METAR KCQT 090952Z VRB03KT 8SM OVC023 14/09 A2990 RMK AO2 SLP122 T01440089,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T02:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.87,47,58,0.00,,,,67,29.86,SCT:04 19 OVC:08 26,29.67,8.00,52,100,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09902/09/20 02:52:02 METAR KCQT 091052Z 10004KT 8SM SCT019 OVC026 14/08 A2987 RMK AO2 SLP113 T01440083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T03:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,47,58,0.00,,+0.06,8,67,29.84,OVC:08 28,29.64,10.00,52,100,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET11102/09/20 03:52:02 METAR KCQT 091152Z 10003KT 10SM OVC028 14/08 A2984 RMK AO2 SLP104 T01440083 10144 20128 58021,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T04:15:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.84,47,58,,,,,67,,OVC:08 31,29.64,10.00,52,VRB,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET08602/09/20 04:15:02 SPECI KCQT 091215Z VRB03KT 10SM OVC031 14/08 A2984 RMK AO2 T01440083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T04:34:00,FM-16,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,47,58,,,,,67,,BKN:07 22 OVC:08 31,29.65,10.00,52,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09302/09/20 04:34:02 SPECI KCQT 091234Z 09003KT 10SM BKN022 OVC031 14/08 A2985 RMK AO2 T01440083,FM-16,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T04:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,47,58,0.00,,,,67,29.85,OVC:08 21,29.65,10.00,52,90,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET09302/09/20 04:52:02 METAR KCQT 091252Z 09003KT 10SM OVC021 14/08 A2985 RMK AO2 SLP107 T01440083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T05:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.85,49,57,T,,,,74,29.85,BKN:07 19 BKN:07 28 OVC:08 34,29.65,10.00,53,90,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET12202/09/20 05:52:02 METAR KCQT 091352Z 09004KT 10SM BKN019 BKN028 OVC034 14/09 A2985 RMK AO2 RAB01E28 SLP108 P0000 T01390094,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T06:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86,47,58,0.00,,-0.02,3,67,29.86,OVC:08 21,29.66,10.00,52,100,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10502/09/20 06:52:02 METAR KCQT 091452Z 10006KT 10SM OVC021 14/08 A2986 RMK AO2 SLP112 60000 T01440083 53006,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
72287493134,2020-02-09T07:52:00,FM-15,7,,,3.89,mi,,,,,,,PENDING COOP,,,,,,,,,,,,,,,,,,,,,,,,,,,29.86,47,58,0.00,,,,67,29.85,BKN:07 20 OVC:08 26,29.66,10.00,52,100,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MET10002/09/20 07:52:02 METAR KCQT 091552Z 10005KT 10SM BKN020 OVC026 14/08 A2986 RMK AO2 SLP109 T01440083,FM-15,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,2006-02-03
