Category;SOCO demand megawatthours;SOCO demand forecast megawatthours
02/13/2020 13H EST;22424;23857
02/13/2020 12H EST;22459;23878
02/13/2020 11H EST;22427;23730
02/13/2020 10H EST;22167;23289
02/13/2020 09H EST;21869;22839
02/13/2020 08H EST;21810;22687
02/13/2020 07H EST;20527;21203
02/13/2020 06H EST;19352;19243
02/13/2020 05H EST;18568;18298
02/13/2020 04H EST;18403;18097
02/13/2020 03H EST;18916;18352
02/13/2020 02H EST;19238;18918
02/13/2020 01H EST;17827;19732
02/13/2020 00H EST;18810;21048
02/12/2020 23H EST;19396;22677
02/12/2020 22H EST;20056;24255
02/12/2020 21H EST;20506;25300
02/12/2020 20H EST;22489;25873
02/12/2020 19H EST;21950;25501
02/12/2020 18H EST;22631;24362
02/12/2020 17H EST;22161;23922
02/12/2020 16H EST;22315;23720
02/12/2020 15H EST;22545;23735
02/12/2020 14H EST;22681;23783
02/12/2020 13H EST;22389;23800
02/12/2020 12H EST;22412;23932
02/12/2020 11H EST;22648;24025
02/12/2020 10H EST;22448;24100
02/12/2020 09H EST;22469;23994
02/12/2020 08H EST;22505;23871
02/12/2020 07H EST;21128;22439
02/12/2020 06H EST;19573;20356
02/12/2020 05H EST;19232;19186
02/12/2020 04H EST;18997;18832
02/12/2020 03H EST;19054;18847
02/12/2020 02H EST;19540;19169
02/12/2020 01H EST;18184;19996
02/12/2020 00H EST;18953;21099
02/11/2020 23H EST;20179;22540
02/11/2020 22H EST;21440;23891
02/11/2020 21H EST;22322;24948
02/11/2020 20H EST;22728;25633
02/11/2020 19H EST;22438;25380
02/11/2020 18H EST;23246;24461
02/11/2020 17H EST;22646;24227
02/11/2020 16H EST;22332;24279
02/11/2020 15H EST;22351;24422
02/11/2020 14H EST;22440;24505
02/11/2020 13H EST;22396;24518
02/11/2020 12H EST;22308;24479
